date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2026/02/02,TX,202602,31888.0,31964.0,31392.0,31610.0,-642,-1.99%,104352,31616.0,72341.0,31610,31616,33153,26305,,一般,,day
2026/02/02,TX,202602,32116.0,32306.0,31700.0,31889.0,-363,-1.13%,98563,,,31857,31889,33153,26305,,盤後,,after
2026/02/03,TX,202602,31580.0,32299.0,31578.0,32241.0,625,1.98%,57292,,,32240,32244,33153,26305,,盤後,,after
2026/02/03,TX,202602,32386.0,32446.0,32004.0,32261.0,645,2.04%,79583,32284.0,71853.0,32261,32263,33153,26305,,一般,,day
2026/02/04,TX,202602,32110.0,32475.0,32034.0,32423.0,139,0.43%,67316,32416.0,71802.0,32417,32424,33153,26305,,一般,,day
2026/02/04,TX,202602,32300.0,32499.0,31741.0,32105.0,-179,-0.55%,82423,,,32102,32106,33153,26305,,盤後,,after
2026/02/05,TX,202602,32477.0,32612.0,31766.0,31903.0,-513,-1.58%,91481,,,31900,31904,33153,26305,,盤後,,after
2026/02/05,TX,202602,31970.0,32166.0,31798.0,31907.0,-509,-1.57%,79892,31902.0,72022.0,31907,31910,33153,26305,,一般,,day
2026/02/06,TX,202602,31951.0,32052.0,31484.0,31760.0,-142,-0.45%,109716,,,31752,31761,33153,26305,,盤後,,after
2026/02/06,TX,202602,31458.0,31883.0,31220.0,31807.0,-95,-0.30%,98135,31789.0,67210.0,31802,31807,33153,26305,,一般,,day
2026/02/09,TX,202602,32824.0,32836.0,32515.0,32651.0,862,2.71%,66559,32650.0,63563.0,32651,32654,33153,26305,,一般,,day
2026/02/09,TX,202602,31847.0,32644.0,31753.0,32639.0,850,2.67%,68572,,,32630,32640,33153,26305,,盤後,,after
2026/02/10,TX,202602,32906.0,33309.0,32879.0,33307.0,657,2.01%,97636,33303.0,43863.0,33305,33307,33309,26305,,一般,,day
2026/02/10,TX,202602,32623.0,32999.0,32456.0,32912.0,262,0.80%,52449,,,32912,32918,33153,26305,,盤後,,after
2026/02/11,TX,202602,33261.0,33460.0,33182.0,33262.0,-41,-0.12%,55540,,,33261,33279,33460,26305,,盤後,,after
2026/02/11,TX,202602,33349.0,33843.0,33272.0,33691.0,388,1.17%,84634,33686.0,22710.0,33692,33696,33843,26305,,一般,,day
2026/02/23,TX,202603,34183.0,34507.0,33836.0,33961.0,123,0.36%,58585,33971.0,71483.0,33961,33965,34507,17068,,一般,,day
2026/02/23,TX,202602,33600.0,33984.0,33600.0,33969.0,283,0.84%,47486,,,33961,33970,33984,26305,,盤後,,after
2026/02/24,TX,202603,33957.0,34296.0,33821.0,34027.0,56,0.16%,48895,,,34020,34032,34507,17068,,盤後,,after
2026/02/24,TX,202603,34125.0,34956.0,34100.0,34827.0,856,2.52%,78032,34837.0,79188.0,34829,34834,34956,17068,,一般,,day
2026/02/25,TX,202603,35243.0,35777.0,35065.0,35490.0,653,1.87%,86639,35489.0,81147.0,35490,35491,35777,17068,,一般,,day
